Tiempo en segundos: 3.072302

Posiciones finales de los cuerpos:
Cuerpo 0: px=1.460864 py=-0.007300 pz=0.274125
Cuerpo 1: px=1.380667 py=-0.015395 pz=0.527250
Cuerpo 2: px=1.263195 py=-0.019783 pz=0.739980
Cuerpo 3: px=1.122458 py=-0.021365 pz=0.896019
Cuerpo 4: px=0.975663 py=-0.018792 pz=0.983412
Cuerpo 5: px=0.836873 py=-0.004415 pz=0.995464
Cuerpo 6: px=0.686592 py=0.032491 pz=0.931251
Cuerpo 7: px=0.530759 py=0.057538 pz=0.795693
Cuerpo 8: px=0.401374 py=0.070122 pz=0.599176
Cuerpo 9: px=0.308663 py=0.077018 pz=0.356754
Cuerpo 10: px=0.261947 py=0.080750 pz=0.087001
Cuerpo 11: px=0.267234 py=0.082133 pz=-0.189418
Cuerpo 12: px=0.322394 py=0.081659 pz=-0.451325
Cuerpo 13: px=0.418501 py=0.079656 pz=-0.678655
Cuerpo 14: px=0.545486 py=0.076134 pz=-0.853992
Cuerpo 15: px=0.695234 py=0.071278 pz=-0.963903
Cuerpo 16: px=0.860576 py=0.065663 pz=-0.999967
Cuerpo 17: px=1.032474 py=0.059754 pz=-0.959421
Cuerpo 18: px=1.197586 py=0.053503 pz=-0.845372
Cuerpo 19: px=1.339477 py=0.046162 pz=-0.666557
Cuerpo 20: px=1.442275 py=0.035788 pz=-0.436676
Cuerpo 21: px=1.494516 py=0.019565 pz=-0.173340
Cuerpo 22: px=1.430824 py=0.436190 pz=0.000000
Cuerpo 23: px=1.405473 py=0.422626 pz=0.274125
Cuerpo 24: px=1.330220 py=0.394640 pz=0.527250
Cuerpo 25: px=1.215513 py=0.357233 pz=0.739980
Cuerpo 26: px=1.074896 py=0.315090 pz=0.896019
Cuerpo 27: px=0.923534 py=0.273371 pz=0.983412
Cuerpo 28: px=0.773573 py=0.237008 pz=0.995464
Cuerpo 29: px=0.629882 py=0.208359 pz=0.931251
Cuerpo 30: px=0.495440 py=0.185719 pz=0.795693
Cuerpo 31: px=0.378767 py=0.166862 pz=0.599176
Cuerpo 32: px=0.292072 py=0.152747 pz=0.356754
Cuerpo 33: px=0.247814 py=0.146556 pz=0.087001
Cuerpo 34: px=0.253565 py=0.150857 pz=-0.189418
Cuerpo 35: px=0.307614 py=0.165516 pz=-0.451325
Cuerpo 36: px=0.400609 py=0.188198 pz=-0.678655
Cuerpo 37: px=0.521644 py=0.216579 pz=-0.853992
Cuerpo 38: px=0.662410 py=0.249560 pz=-0.963903
Cuerpo 39: px=0.816806 py=0.286554 pz=-0.999967
Cuerpo 40: px=0.977676 py=0.326123 pz=-0.959421
Cuerpo 41: px=1.133443 py=0.365161 pz=-0.845372
Cuerpo 42: px=1.269092 py=0.399455 pz=-0.666557
Cuerpo 43: px=1.370189 py=0.424827 pz=-0.436676
Cuerpo 44: px=1.426256 py=0.437510 pz=-0.173340
Cuerpo 45: px=1.255490 py=0.804310 pz=0.000000
Cuerpo 46: px=1.234650 py=0.789049 pz=0.274125
Cuerpo 47: px=1.169204 py=0.746573 pz=0.527250
Cuerpo 48: px=1.067742 py=0.682460 pz=0.739980
Cuerpo 49: px=0.942012 py=0.604409 pz=0.896019
Cuerpo 50: px=0.805632 py=0.521478 pz=0.983412
Cuerpo 51: px=0.670518 py=0.441884 pz=0.995464
Cuerpo 52: px=0.543361 py=0.370600 pz=0.931251
Cuerpo 53: px=0.427411 py=0.309541 pz=0.795693
Cuerpo 54: px=0.327602 py=0.259866 pz=0.599176
Cuerpo 55: px=0.252971 py=0.224361 pz=0.356754
Cuerpo 56: px=0.214719 py=0.207869 pz=0.087001
Cuerpo 57: px=0.220263 py=0.214142 pz=-0.189418
Cuerpo 58: px=0.268328 py=0.242391 pz=-0.451325
Cuerpo 59: px=0.350327 py=0.288005 pz=-0.678655
Cuerpo 60: px=0.456249 py=0.346269 pz=-0.853992
Cuerpo 61: px=0.578811 py=0.414379 pz=-0.963903
Cuerpo 62: px=0.713133 py=0.490496 pz=-0.999967
Cuerpo 63: px=0.853593 py=0.571564 pz=-0.959421
Cuerpo 64: px=0.990338 py=0.651455 pz=-0.845372
Cuerpo 65: px=1.110112 py=0.721758 pz=-0.666557
Cuerpo 66: px=1.199998 py=0.774224 pz=-0.436676
Cuerpo 67: px=1.250605 py=0.802773 pz=-0.173340
Cuerpo 68: px=0.986778 py=1.112534 pz=0.000000
Cuerpo 69: px=0.970644 py=1.093544 pz=0.274125
Cuerpo 70: px=0.919072 py=1.036216 pz=0.527250
Cuerpo 71: px=0.838759 py=0.947982 pz=0.739980
Cuerpo 72: px=0.738926 py=0.839218 pz=0.896019
Cuerpo 73: px=0.630386 py=0.722205 pz=0.983412
Cuerpo 74: px=0.522803 py=0.608142 pz=0.995464
Cuerpo 75: px=0.421901 py=0.504002 pz=0.931251
Cuerpo 76: px=0.330488 py=0.413119 pz=0.795693
Cuerpo 77: px=0.252185 py=0.338439 pz=0.599176
Cuerpo 78: px=0.193696 py=0.284897 pz=0.356754
Cuerpo 79: px=0.163755 py=0.259478 pz=0.087001
Cuerpo 80: px=0.168365 py=0.267228 pz=-0.189418
Cuerpo 81: px=0.206598 py=0.306867 pz=-0.451325
Cuerpo 82: px=0.271555 py=0.371812 pz=-0.678655
Cuerpo 83: px=0.355173 py=0.455183 pz=-0.853992
Cuerpo 84: px=0.451691 py=0.552627 pz=-0.963903
Cuerpo 85: px=0.557413 py=0.661275 pz=-0.999967
Cuerpo 86: px=0.668127 py=0.776843 pz=-0.959421
Cuerpo 87: px=0.776148 py=0.890764 pz=-0.845372
Cuerpo 88: px=0.870963 py=0.991261 pz=-0.666557
Cuerpo 89: px=0.942305 py=1.066821 pz=-0.436676
Cuerpo 90: px=0.982692 py=1.109024 pz=-0.173340
Cuerpo 91: px=0.645444 py=1.336497 pz=0.000000
Cuerpo 92: px=0.634906 py=1.314379 pz=0.274125
Cuerpo 93: px=0.600892 py=1.245725 pz=0.527250
Cuerpo 94: px=0.547790 py=1.139462 pz=0.739980
Cuerpo 95: px=0.481665 py=1.008037 pz=0.896019
Cuerpo 96: px=0.409642 py=0.866187 pz=0.983412
Cuerpo 97: px=0.338102 py=0.727328 pz=0.995464
Cuerpo 98: px=0.270870 py=0.599821 pz=0.931251
Cuerpo 99: px=0.209842 py=0.487799 pz=0.795693
Cuerpo 100: px=0.157453 py=0.395247 pz=0.599176
Cuerpo 101: px=0.118214 py=0.328670 pz=0.356754
Cuerpo 102: px=0.098048 py=0.296760 pz=0.087001
Cuerpo 103: px=0.101050 py=0.305573 pz=-0.189418
Cuerpo 104: px=0.126649 py=0.353503 pz=-0.451325
Cuerpo 105: px=0.170171 py=0.432560 pz=-0.678655
Cuerpo 106: px=0.226076 py=0.534259 pz=-0.853992
Cuerpo 107: px=0.290377 py=0.653076 pz=-0.963903
Cuerpo 108: px=0.360598 py=0.785413 pz=-0.999967
Cuerpo 109: px=0.434022 py=0.926113 pz=-0.959421
